student_name,"skills",years_of_experience,cgpa,projects,label
Rohan Sharma,"C Programming, PCB Design, Signal Processing",1.9,6.76,Image Processing System,0
Arjun Gupta,"VLSI Design, C Programming, IoT",1,5.84,Smart Home Automation,0
Krishna Singh,"MATLAB, Signal Processing, Verilog",0.6,6.96,Signal Analyzer,0
Vikram Yadav,"MATLAB, IoT, C Programming",0.9,6.57,AI Based Fault Detection,0
Vihaan Kumar,"Signal Processing, MATLAB, Verilog",1.4,6.41,AI Based Fault Detection,0
Vihaan Naidu,"MATLAB, IoT, VLSI Design",0.6,5.91,FPGA Based Design,0
Aditya Gupta,"Signal Processing, MATLAB, Verilog",0.8,6.75,Robotics Arm,0
Vikram Verma,"C Programming, Signal Processing, Verilog",1.6,6.86,FPGA Based Design,0
Aarav Gupta,"C Programming, IoT, Verilog",1.3,5.3,Robotics Arm,0
Vihaan Iyer,"MATLAB, VLSI Design, Verilog",1.7,5.56,FPGA Based Design,0
Krishna Sharma,"IoT, C Programming, VLSI Design",1,6.13,Image Processing System,0
Vikram Gupta,"VLSI Design, PCB Design, Signal Processing",0.2,5.53,Image Processing System,0
Kiran Naidu,"Signal Processing, C Programming, MATLAB",1.1,7.4,Wireless Communication Model,0
Sai Yadav,"IoT, PCB Design, Signal Processing",0.4,7.39,FPGA Based Design,0
Rahul Gupta,"PCB Design, IoT, Verilog",0.2,7.24,FPGA Based Design,0
Krishna Gupta,"IoT, Signal Processing, C Programming",1.7,6.36,Smart Home Automation,0
Krishna Yadav,"Verilog, PCB Design, MATLAB",1.4,6.85,Smart Home Automation,0
Krishna Singh,"IoT, MATLAB, VLSI Design",1.6,5.9,Image Processing System,0
Rahul Reddy,"MATLAB, Verilog, Signal Processing",0.8,6.93,Signal Analyzer,0
Aditya Reddy,"MATLAB, Signal Processing, Verilog",0.8,6.79,FPGA Based Design,0
Vihaan Verma,"Signal Processing, PCB Design, VLSI Design",0.9,6.66,Smart Home Automation,0
Rahul Singh,"Verilog, IoT, MATLAB",1,6.5,Signal Analyzer,0
Sai Kumar,"MATLAB, Signal Processing, C Programming",0.8,6.44,FPGA Based Design,0
Vikram Reddy,"Verilog, Signal Processing, PCB Design",1.9,5.38,Wireless Communication Model,0
Aditya Sharma,"IoT, Signal Processing, VLSI Design",0,6.8,Smart Home Automation,0
Aditya Iyer,"MATLAB, Signal Processing, IoT",1.2,5.83,AI Based Fault Detection,0
Aarav Iyer,"C Programming, VLSI Design, Verilog",1.4,7.26,IoT Weather Station,0
Kiran Sharma,"Signal Processing, C Programming, IoT",1.4,6.85,Image Processing System,0
Aarav Naidu,"Signal Processing, C Programming, Verilog",1.6,5.62,Robotics Arm,0
Vihaan Yadav,"MATLAB, IoT, Verilog",2,6.45,Wireless Communication Model,0
Sai Sharma,"MATLAB, Signal Processing, VLSI Design",0.6,7.18,Smart Home Automation,0
Sai Singh,"C Programming, VLSI Design, MATLAB",0.5,5.02,Wireless Communication Model,0
Aditya Iyer,"Verilog, PCB Design, Signal Processing",0.9,5.12,Wireless Communication Model,0
Vikram Reddy,"C Programming, MATLAB, VLSI Design",1.5,5.2,Smart Home Automation,0
Vikram Kumar,"VLSI Design, MATLAB, PCB Design",0.2,5.53,Signal Analyzer,0
Rahul Yadav,"Signal Processing, PCB Design, Verilog",1.9,7.19,FPGA Based Design,0
Aditya Yadav,"Signal Processing, MATLAB, VLSI Design",0.3,6.77,Wireless Communication Model,0
Aarav Yadav,"Verilog, IoT, C Programming",1.7,6.97,AI Based Fault Detection,0
Rohan Kumar,"C Programming, VLSI Design, PCB Design",0.9,5.98,Smart Home Automation,0
Rohan Yadav,"IoT, Verilog, Signal Processing",0.9,7.16,Signal Analyzer,0
Aarav Sharma,"PCB Design, IoT, VLSI Design",1.9,6.85,Image Processing System,0
Kiran Naidu,"MATLAB, VLSI Design, Signal Processing",0.1,6.09,IoT Weather Station,0
Vikram Sharma,"IoT, Signal Processing, MATLAB",0.8,5.16,Wireless Communication Model,0
Rahul Yadav,"MATLAB, VLSI Design, Signal Processing",0.1,5.75,Smart Home Automation,0
Rohan Reddy,"PCB Design, C Programming, MATLAB",1.8,7.01,Smart Home Automation,0
Aditya Singh,"IoT, C Programming, VLSI Design",1.1,6,FPGA Based Design,0
Rohan Verma,"PCB Design, MATLAB, VLSI Design",1.6,7.03,Smart Home Automation,0
Krishna Yadav,"PCB Design, Signal Processing, MATLAB",1.7,5.22,FPGA Based Design,0
Rahul Reddy,"PCB Design, C Programming, IoT",0.1,5.23,AI Based Fault Detection,0
Aarav Patel,"PCB Design, VLSI Design, MATLAB",0.9,5.06,Signal Analyzer,0
Rahul Sharma,"PCB Design, C Programming, IoT",1.1,7.13,Robotics Arm,0
Sai Patel,"Signal Processing, VLSI Design, C Programming",0.3,6.69,IoT Weather Station,0
Arjun Yadav,"PCB Design, Verilog, Signal Processing",1.3,5.59,Smart Home Automation,0
Arjun Iyer,"Signal Processing, C Programming, IoT",1.6,5.26,Smart Home Automation,0
Vihaan Yadav,"MATLAB, Signal Processing, IoT",0.6,6.82,Image Processing System,0
Rohan Reddy,"PCB Design, IoT, VLSI Design",0.1,6.41,Signal Analyzer,0
Aarav Singh,"VLSI Design, Signal Processing, PCB Design",0.9,6.16,FPGA Based Design,0
Aarav Reddy,"VLSI Design, Signal Processing, Verilog",0.2,6.54,Signal Analyzer,0
Aarav Singh,"MATLAB, VLSI Design, IoT",1.8,6.38,Signal Analyzer,0
Arjun Iyer,"PCB Design, Signal Processing, MATLAB",0.9,5.39,Image Processing System,0
Krishna Kumar,"Verilog, VLSI Design, Signal Processing",0.7,6.99,FPGA Based Design,0
Aarav Gupta,"IoT, Verilog, VLSI Design",1.1,6.12,Robotics Arm,0
Krishna Sharma,"IoT, C Programming, Verilog",1.2,6.3,FPGA Based Design,0
Sai Kumar,"MATLAB, C Programming, PCB Design",1.3,5.28,Robotics Arm,0
Krishna Patel,"MATLAB, IoT, VLSI Design",1.4,6.86,Image Processing System,0
Krishna Singh,"MATLAB, Signal Processing, C Programming",1.8,5.04,AI Based Fault Detection,0
Aarav Patel,"Signal Processing, C Programming, Verilog",0.7,6.02,Robotics Arm,0
Rohan Patel,"Verilog, VLSI Design, C Programming",0.8,7.08,Wireless Communication Model,0
Sai Patel,"PCB Design, Verilog, VLSI Design",0.4,6.1,Wireless Communication Model,0
Kiran Sharma,"Signal Processing, VLSI Design, C Programming",1.3,6.82,FPGA Based Design,0
Vihaan Patel,"Signal Processing, PCB Design, C Programming",0.9,5.95,Image Processing System,0
Vihaan Iyer,"C Programming, IoT, Signal Processing",0.3,6.32,IoT Weather Station,0
Krishna Verma,"IoT, Signal Processing, PCB Design",1.4,5.78,Image Processing System,0
Aarav Naidu,"Verilog, C Programming, Signal Processing",0.8,5.93,Robotics Arm,0
Arjun Yadav,"MATLAB, VLSI Design, Signal Processing",0.9,6.06,AI Based Fault Detection,0
Krishna Verma,"IoT, Signal Processing, C Programming",2,7.11,IoT Weather Station,0
Sai Patel,"Verilog, IoT, Signal Processing",1.8,7.04,AI Based Fault Detection,0
Vikram Verma,"Verilog, C Programming, MATLAB",0.5,5.77,Smart Home Automation,0
Rahul Naidu,"PCB Design, C Programming, VLSI Design",1.6,6.07,Image Processing System,0
Vihaan Naidu,"PCB Design, VLSI Design, IoT",1.6,7.05,Signal Analyzer,0
Kiran Singh,"C Programming, PCB Design, Signal Processing",0.9,6.86,Robotics Arm,0
Rohan Sharma,"Signal Processing, IoT, PCB Design",1.9,5.22,Image Processing System,0
Kiran Singh,"PCB Design, Verilog, MATLAB",1.5,6.79,AI Based Fault Detection,0
Sai Singh,"C Programming, MATLAB, IoT",1.6,6.65,Signal Analyzer,0
Aarav Yadav,"VLSI Design, PCB Design, MATLAB",1.6,5.71,AI Based Fault Detection,0
Rahul Kumar,"IoT, MATLAB, Signal Processing",0.9,5.43,Smart Home Automation,0
Vikram Verma,"PCB Design, VLSI Design, IoT",1.9,5.3,Wireless Communication Model,0
Vihaan Sharma,"Signal Processing, IoT, MATLAB",1,5.67,Signal Analyzer,0
Kiran Verma,"VLSI Design, PCB Design, IoT",0.7,5.76,Robotics Arm,0
Arjun Yadav,"MATLAB, Signal Processing, IoT",0.7,7.3,Signal Analyzer,0
Rahul Naidu,"VLSI Design, MATLAB, Signal Processing",0.3,7.18,FPGA Based Design,0
Vihaan Gupta,"VLSI Design, Signal Processing, C Programming",0.8,5.57,Robotics Arm,0
Sai Verma,"IoT, MATLAB, VLSI Design",0.5,6.93,Robotics Arm,0
Aarav Reddy,"C Programming, MATLAB, PCB Design",1.5,6.03,AI Based Fault Detection,0
Vihaan Iyer,"Signal Processing, MATLAB, C Programming",1.9,6.97,IoT Weather Station,0
Vihaan Reddy,"C Programming, Signal Processing, VLSI Design",0.3,6.2,Wireless Communication Model,0
Arjun Sharma,"PCB Design, C Programming, IoT",1.9,5.87,AI Based Fault Detection,0
Aditya Kumar,"Verilog, C Programming, VLSI Design",0.8,7.34,IoT Weather Station,0
Vihaan Yadav,"IoT, PCB Design, C Programming",1.6,5.17,Robotics Arm,0
Sai Naidu,"IoT, MATLAB, PCB Design",1.6,7.29,Image Processing System,0
Kiran Naidu,"PCB Design, Verilog, MATLAB",0,5.44,Smart Home Automation,0
Aditya Patel,"C Programming, Signal Processing, Verilog",0.1,5.84,Image Processing System,0
Sai Verma,"C Programming, MATLAB, IoT",1.1,6.93,Image Processing System,0
Aditya Naidu,"IoT, Verilog, MATLAB",1.8,6.7,Robotics Arm,0
Aditya Kumar,"MATLAB, VLSI Design, IoT",1.7,6.1,IoT Weather Station,0
Sai Patel,"MATLAB, Verilog, PCB Design",1.5,7.36,Signal Analyzer,0
Vikram Iyer,"MATLAB, IoT, Signal Processing",1,6.89,Signal Analyzer,0
Rahul Kumar,"C Programming, Verilog, MATLAB",0.6,7,Robotics Arm,0
Aditya Kumar,"Signal Processing, IoT, VLSI Design",0,5.84,FPGA Based Design,0
Rahul Sharma,"VLSI Design, MATLAB, C Programming",1.3,5.67,AI Based Fault Detection,0
Vikram Sharma,"Verilog, VLSI Design, MATLAB",2,7.28,Image Processing System,0
Rohan Kumar,"Signal Processing, MATLAB, C Programming",1.3,7.01,FPGA Based Design,1
Rohan Kumar,"Signal Processing, MATLAB, C Programming",0.9,5.13,Signal Analyzer,0
Kiran Reddy,"C Programming, Signal Processing, MATLAB",0.9,5.8,FPGA Based Design,0
Rohan Yadav,"Verilog, Signal Processing, PCB Design",1.3,6.48,Wireless Communication Model,0
Sai Verma,"C Programming, Verilog, Signal Processing",0.7,7.05,FPGA Based Design,0
Arjun Reddy,"VLSI Design, PCB Design, IoT",0.8,5.44,Wireless Communication Model,0
Aarav Sharma,"PCB Design, Verilog, VLSI Design",0.6,5.02,Wireless Communication Model,0
Krishna Kumar,"MATLAB, PCB Design, Verilog",1,6.4,Smart Home Automation,0
Krishna Naidu,"Verilog, C Programming, PCB Design",2,6.95,AI Based Fault Detection,0
Rahul Naidu,"PCB Design, Verilog, VLSI Design",1.5,5.33,AI Based Fault Detection,0
Rahul Singh,"VLSI Design, MATLAB, IoT",0.1,7.39,Robotics Arm,0
Vikram Singh,"Verilog, PCB Design, MATLAB",0.3,5.72,Image Processing System,0
Aditya Patel,"IoT, C Programming, MATLAB",0.7,5.91,Image Processing System,0
Krishna Sharma,"Verilog, IoT, PCB Design",0.2,6.12,IoT Weather Station,0
Krishna Sharma,"Verilog, PCB Design, C Programming",0.9,5.73,Image Processing System,0
Vikram Sharma,"Verilog, Signal Processing, PCB Design",0.2,5.25,Wireless Communication Model,0
Krishna Verma,"MATLAB, Signal Processing, VLSI Design",1.8,5.48,Image Processing System,0
Kiran Verma,"VLSI Design, Signal Processing, PCB Design",2,7.05,AI Based Fault Detection,0
Rohan Iyer,"VLSI Design, Signal Processing, MATLAB",1.4,6.09,Smart Home Automation,0
Rahul Verma,"VLSI Design, Signal Processing, PCB Design",1,5.6,Smart Home Automation,0
Aarav Reddy,"MATLAB, Signal Processing, PCB Design",0.5,5.93,FPGA Based Design,0
Rohan Gupta,"Verilog, IoT, VLSI Design",1.9,6.8,Signal Analyzer,0
Krishna Gupta,"Signal Processing, IoT, C Programming",1.9,6.41,Signal Analyzer,0
Aarav Kumar,"VLSI Design, PCB Design, Signal Processing",0.3,7.22,Smart Home Automation,0
Aditya Singh,"Verilog, C Programming, VLSI Design",1.5,6.66,Image Processing System,0
Rohan Reddy,"C Programming, IoT, Signal Processing",1.8,7.12,Wireless Communication Model,0
Aarav Patel,"MATLAB, PCB Design, C Programming",1,5.56,Signal Analyzer,0
Arjun Singh,"C Programming, IoT, Verilog",1.1,5.28,IoT Weather Station,0
Sai Sharma,"PCB Design, Signal Processing, VLSI Design",0.1,5.08,Smart Home Automation,0
Krishna Singh,"IoT, C Programming, Signal Processing",1.7,5.29,Robotics Arm,0
Vikram Kumar,"MATLAB, VLSI Design, C Programming",0.2,6.73,Signal Analyzer,0
Vihaan Yadav,"PCB Design, Verilog, IoT",1.2,7.23,IoT Weather Station,0
Rahul Sharma,"IoT, Signal Processing, Verilog",0.1,7.03,AI Based Fault Detection,0
Arjun Reddy,"C Programming, IoT, Signal Processing",0.8,5.14,Robotics Arm,0
Aditya Yadav,"IoT, C Programming, Signal Processing",0.5,6.49,FPGA Based Design,0
Krishna Reddy,"C Programming, VLSI Design, IoT",1.2,7.23,Signal Analyzer,0
Krishna Yadav,"Verilog, VLSI Design, PCB Design",0.9,7.2,Wireless Communication Model,0
Kiran Sharma,"IoT, VLSI Design, Signal Processing",1.7,6.76,Signal Analyzer,0
Aarav Naidu,"VLSI Design, C Programming, IoT",1.8,7.22,Image Processing System,0
Krishna Reddy,"IoT, VLSI Design, Signal Processing",0.1,5.51,Wireless Communication Model,0
Arjun Kumar,"VLSI Design, PCB Design, IoT",0.1,5.85,IoT Weather Station,0
Aditya Reddy,"IoT, Signal Processing, MATLAB",0.4,5.39,FPGA Based Design,0
Rahul Verma,"IoT, C Programming, PCB Design",1.4,6.82,Signal Analyzer,0
Vihaan Patel,"IoT, C Programming, Signal Processing",0.7,5.86,FPGA Based Design,0
Kiran Patel,"VLSI Design, Signal Processing, IoT",1,7,Wireless Communication Model,0
Aarav Reddy,"VLSI Design, PCB Design, C Programming",1.6,5.1,Wireless Communication Model,0
Kiran Kumar,"C Programming, PCB Design, VLSI Design",1.6,7.37,Image Processing System,0
Rahul Iyer,"Verilog, Signal Processing, IoT",0.5,7.05,AI Based Fault Detection,0
Vikram Yadav,"MATLAB, IoT, C Programming",1.8,7.04,Wireless Communication Model,0
Kiran Patel,"VLSI Design, Verilog, Signal Processing",0.3,5.61,Signal Analyzer,0
Rahul Iyer,"MATLAB, IoT, Verilog",1,6.99,Smart Home Automation,0
Aarav Kumar,"MATLAB, Verilog, VLSI Design",1.9,6.4,Image Processing System,0
Vikram Kumar,"Verilog, VLSI Design, C Programming",2,6.22,Signal Analyzer,0
Rahul Naidu,"Verilog, C Programming, VLSI Design",0.3,5.24,Robotics Arm,0
Aditya Iyer,"IoT, PCB Design, C Programming",1.1,7.3,Smart Home Automation,1
Arjun Verma,"Verilog, VLSI Design, PCB Design",1.1,7.06,IoT Weather Station,0
Vihaan Sharma,"C Programming, PCB Design, IoT",0.6,6.8,Robotics Arm,0
Vikram Singh,"MATLAB, Verilog, Signal Processing",0.1,5.45,Wireless Communication Model,0
Sai Gupta,"Verilog, VLSI Design, MATLAB",1.2,5.9,Signal Analyzer,0
Aarav Kumar,"MATLAB, C Programming, VLSI Design",1.8,6.85,FPGA Based Design,0
Aditya Gupta,"Verilog, MATLAB, VLSI Design",0.3,6.01,AI Based Fault Detection,0
Aarav Kumar,"PCB Design, Signal Processing, MATLAB",0.6,7.35,IoT Weather Station,0
Rohan Verma,"VLSI Design, PCB Design, IoT",2,6.24,Robotics Arm,0
Arjun Sharma,"C Programming, VLSI Design, PCB Design",0.5,6.49,IoT Weather Station,0
Arjun Iyer,"Signal Processing, C Programming, IoT",0.4,5.07,IoT Weather Station,0
Krishna Naidu,"C Programming, PCB Design, IoT",0.4,5.48,Signal Analyzer,0
Aarav Patel,"PCB Design, Verilog, C Programming",1.3,5.57,FPGA Based Design,0
Aarav Singh,"MATLAB, C Programming, Verilog",1.2,6.18,Wireless Communication Model,0
Aarav Sharma,"C Programming, VLSI Design, Signal Processing",0.2,6.22,Smart Home Automation,0
Sai Yadav,"PCB Design, MATLAB, IoT",2,5.34,Smart Home Automation,0
Vikram Yadav,"Verilog, PCB Design, Signal Processing",1.9,6.24,AI Based Fault Detection,0
Vikram Verma,"C Programming, Verilog, MATLAB",1.1,7.32,Robotics Arm,0
Aditya Iyer,"IoT, C Programming, MATLAB",1.1,7.35,Smart Home Automation,0
Kiran Naidu,"Verilog, C Programming, Signal Processing",1.3,6.51,AI Based Fault Detection,0
Kiran Naidu,"Verilog, PCB Design, MATLAB",0.8,7.11,AI Based Fault Detection,0
Vihaan Verma,"MATLAB, C Programming, VLSI Design",0.5,6.94,Robotics Arm,0
Arjun Gupta,"C Programming, VLSI Design, MATLAB",1.9,6.76,Smart Home Automation,0
Krishna Gupta,"MATLAB, PCB Design, Verilog",1,5.99,Smart Home Automation,0
Arjun Patel,"MATLAB, IoT, VLSI Design",0.7,6.9,Wireless Communication Model,0
Vikram Sharma,"VLSI Design, IoT, Verilog",1.4,5.7,Smart Home Automation,0
Arjun Naidu,"MATLAB, VLSI Design, IoT",1.1,7.31,IoT Weather Station,1
Rahul Naidu,"MATLAB, VLSI Design, IoT",1.4,6.61,FPGA Based Design,0
Vihaan Gupta,"VLSI Design, C Programming, PCB Design",1.4,7.29,Smart Home Automation,0
Kiran Kumar,"C Programming, Verilog, MATLAB",0.7,6.38,Wireless Communication Model,0
Krishna Singh,"C Programming, MATLAB, IoT",0.6,5.93,Signal Analyzer,0
Vihaan Reddy,"PCB Design, IoT, C Programming",1.7,5.97,Signal Analyzer,0
Arjun Yadav,"IoT, VLSI Design, Signal Processing",1.2,5.22,Robotics Arm,0
Vihaan Verma,"C Programming, MATLAB, Signal Processing",1.9,6.89,Image Processing System,0
Krishna Singh,"IoT, Verilog, MATLAB",0.9,6.04,FPGA Based Design,0
Krishna Iyer,"PCB Design, Signal Processing, MATLAB",1.9,5.74,FPGA Based Design,0
Vihaan Singh,"MATLAB, IoT, Signal Processing",1.4,5.73,AI Based Fault Detection,0
Aditya Patel,"IoT, MATLAB, Signal Processing",0.8,7.01,Image Processing System,0
Krishna Iyer,"C Programming, VLSI Design, Signal Processing",1.3,5.96,Smart Home Automation,0
Arjun Sharma,"VLSI Design, IoT, PCB Design",0.8,5.22,Image Processing System,0
Sai Verma,"MATLAB, Signal Processing, C Programming",1.6,5.02,Signal Analyzer,0
Vikram Yadav,"Signal Processing, C Programming, VLSI Design",1.7,6.74,Wireless Communication Model,1
Arjun Gupta,"IoT, MATLAB, VLSI Design",0.3,6.32,IoT Weather Station,0
Sai Gupta,"VLSI Design, IoT, Verilog",0.3,5.57,Robotics Arm,0
Vihaan Verma,"VLSI Design, IoT, Signal Processing",0.4,5.98,IoT Weather Station,0
Kiran Singh,"PCB Design, VLSI Design, Verilog",0.6,5.84,Robotics Arm,0
Krishna Kumar,"MATLAB, PCB Design, IoT",1.5,5.5,FPGA Based Design,0
Sai Patel,"PCB Design, VLSI Design, C Programming",0.7,5.39,Image Processing System,0
Vihaan Patel,"MATLAB, Verilog, VLSI Design",0.6,6.42,Robotics Arm,0
Vihaan Verma,"Verilog, MATLAB, C Programming",0.7,6.82,Smart Home Automation,0
Arjun Gupta,"MATLAB, C Programming, Verilog",1,5.67,Wireless Communication Model,0
Aarav Verma,"VLSI Design, MATLAB, C Programming",0.8,5.77,Smart Home Automation,0
Krishna Singh,"Verilog, IoT, VLSI Design",0.1,5.41,IoT Weather Station,0
Sai Gupta,"PCB Design, Signal Processing, Verilog",0.4,5.38,IoT Weather Station,0
Arjun Gupta,"Signal Processing, VLSI Design, Verilog",0,5.15,FPGA Based Design,0
Rohan Yadav,"Signal Processing, PCB Design, VLSI Design",1.5,6.2,Signal Analyzer,0
Aditya Patel,"Verilog, PCB Design, VLSI Design",1.4,5.31,Image Processing System,0
Aditya Gupta,"PCB Design, MATLAB, Signal Processing",0.1,7.35,Image Processing System,0
Vikram Kumar,"Verilog, VLSI Design, PCB Design",1.7,5.14,Robotics Arm,0
Aditya Kumar,"PCB Design, VLSI Design, IoT",1.2,5.37,Wireless Communication Model,0
Krishna Naidu,"VLSI Design, MATLAB, C Programming",0.6,6.12,IoT Weather Station,0
Vihaan Reddy,"Verilog, MATLAB, IoT",0.8,7.28,IoT Weather Station,0
Rohan Sharma,"PCB Design, MATLAB, VLSI Design",1.4,7.31,FPGA Based Design,0
Krishna Verma,"VLSI Design, C Programming, IoT",2,6.64,Signal Analyzer,0
Aditya Iyer,"MATLAB, Signal Processing, PCB Design",0.6,6.23,IoT Weather Station,0
Aditya Gupta,"Verilog, C Programming, Signal Processing",0.4,6.24,Robotics Arm,0
Kiran Naidu,"C Programming, Verilog, VLSI Design",1,6.85,FPGA Based Design,0
Aarav Sharma,"VLSI Design, Verilog, IoT",1.1,6.54,Robotics Arm,0
Vikram Gupta,"VLSI Design, Verilog, IoT",0.1,7.32,Signal Analyzer,0
Aditya Kumar,"VLSI Design, PCB Design, Verilog",1.6,5.51,FPGA Based Design,0
Aarav Iyer,"Verilog, C Programming, PCB Design",2,7.11,Signal Analyzer,1
Vikram Singh,"IoT, C Programming, PCB Design",1.5,5.02,FPGA Based Design,0
Rahul Gupta,"C Programming, Verilog, PCB Design",1.8,5.09,AI Based Fault Detection,0
Aarav Reddy,"Verilog, C Programming, PCB Design",1.2,7.07,AI Based Fault Detection,0
Sai Iyer,"MATLAB, PCB Design, C Programming",0.4,5.02,AI Based Fault Detection,0
Krishna Sharma,"MATLAB, Verilog, C Programming",1.1,6.76,FPGA Based Design,0
Vikram Reddy,"Verilog, Signal Processing, MATLAB",1.4,5.69,Robotics Arm,0
Rohan Reddy,"IoT, VLSI Design, MATLAB",1.2,5.38,Robotics Arm,0
Rahul Patel,"IoT, VLSI Design, C Programming",1.3,5.14,Signal Analyzer,0
Vikram Patel,"Verilog, IoT, C Programming",1,5.5,FPGA Based Design,0
Rohan Singh,"PCB Design, Verilog, Signal Processing",0.9,5.73,Wireless Communication Model,0
Rohan Kumar,"PCB Design, MATLAB, IoT",0.1,6.62,IoT Weather Station,0
Vihaan Singh,"Signal Processing, PCB Design, VLSI Design",2,6.37,AI Based Fault Detection,0
Sai Naidu,"MATLAB, Verilog, IoT",1.1,5.22,Wireless Communication Model,0
Rahul Reddy,"PCB Design, C Programming, IoT",1.8,7.01,Wireless Communication Model,0
Aditya Reddy,"VLSI Design, Signal Processing, PCB Design",0.1,6.33,IoT Weather Station,0
Vikram Reddy,"PCB Design, IoT, MATLAB",0.3,5.94,Image Processing System,0
Sai Patel,"Signal Processing, PCB Design, IoT",1.8,5.46,Image Processing System,0
Vikram Kumar,"Verilog, MATLAB, PCB Design",1.8,7.15,AI Based Fault Detection,0
Arjun Reddy,"Signal Processing, PCB Design, VLSI Design",1.5,6.92,AI Based Fault Detection,0
Kiran Yadav,"C Programming, MATLAB, VLSI Design",2,6.11,FPGA Based Design,1
Aditya Sharma,"MATLAB, C Programming, PCB Design",1.8,6.13,Wireless Communication Model,0
Aarav Kumar,"Signal Processing, MATLAB, C Programming",0.7,6.24,Smart Home Automation,0
Aditya Verma,"PCB Design, C Programming, VLSI Design",1.4,5.32,AI Based Fault Detection,0
Aarav Singh,"PCB Design, Verilog, Signal Processing",0.7,7.3,Signal Analyzer,0
Kiran Patel,"C Programming, Signal Processing, IoT",0.7,5.31,FPGA Based Design,0
Rohan Naidu,"Verilog, PCB Design, MATLAB",1.3,7.05,Robotics Arm,0
Krishna Patel,"Signal Processing, PCB Design, VLSI Design",1.1,7.37,Signal Analyzer,0
Vihaan Singh,"C Programming, Signal Processing, MATLAB",1.7,6.03,FPGA Based Design,0
Krishna Iyer,"IoT, MATLAB, PCB Design",0.3,5.91,AI Based Fault Detection,0
Arjun Verma,"Signal Processing, C Programming, VLSI Design",1.7,5.41,IoT Weather Station,0
Vikram Verma,"VLSI Design, Signal Processing, Verilog",0,5.94,Wireless Communication Model,0
Aditya Singh,"MATLAB, Verilog, C Programming",1.8,6.51,Wireless Communication Model,0
Rohan Patel,"Signal Processing, Verilog, C Programming",0.1,5.27,Smart Home Automation,0
Krishna Yadav,"Verilog, Signal Processing, IoT",1.1,6.17,Signal Analyzer,0
Kiran Reddy,"VLSI Design, IoT, C Programming",0.7,6.67,Signal Analyzer,0
Krishna Gupta,"Verilog, VLSI Design, Signal Processing",1.2,7.16,Image Processing System,0
Rahul Verma,"Verilog, PCB Design, IoT",0.8,6.67,AI Based Fault Detection,0
Sai Iyer,"MATLAB, VLSI Design, C Programming",1.3,6.68,Image Processing System,0
Rohan Sharma,"VLSI Design, C Programming, Signal Processing",1.6,5.66,Image Processing System,1
Vikram Reddy,"Verilog, VLSI Design, PCB Design",0.7,5.69,Image Processing System,0
Vihaan Singh,"MATLAB, PCB Design, VLSI Design",1.2,5.43,FPGA Based Design,0
Vikram Singh,"Verilog, IoT, PCB Design",0.7,6.84,AI Based Fault Detection,0
Aarav Iyer,"MATLAB, IoT, PCB Design",0.8,5.19,IoT Weather Station,0
Arjun Naidu,"Signal Processing, C Programming, IoT",0.2,7.05,IoT Weather Station,0
Rahul Gupta,"Signal Processing, IoT, MATLAB",1.4,6.03,Robotics Arm,0
Sai Yadav,"VLSI Design, C Programming, IoT",1.5,5.94,Smart Home Automation,0
Sai Patel,"VLSI Design, Verilog, C Programming",1.3,6.93,Smart Home Automation,0
Vihaan Reddy,"PCB Design, MATLAB, Verilog",0.7,6.07,Wireless Communication Model,0
Kiran Kumar,"C Programming, Verilog, IoT",1.5,5.08,IoT Weather Station,0
Vikram Kumar,"PCB Design, MATLAB, Verilog",0.7,5.75,FPGA Based Design,0
Arjun Kumar,"PCB Design, Verilog, Signal Processing",0.7,5.45,IoT Weather Station,0
Aarav Naidu,"Signal Processing, VLSI Design, PCB Design",1.7,6.82,FPGA Based Design,1
Vikram Singh,"PCB Design, Signal Processing, C Programming",0.5,6.8,FPGA Based Design,0
Sai Gupta,"MATLAB, PCB Design, VLSI Design",0.1,5.09,Robotics Arm,0
Vihaan Iyer,"Signal Processing, Verilog, PCB Design",0.6,6.49,IoT Weather Station,0
Aarav Iyer,"Signal Processing, Verilog, VLSI Design",1.1,5.92,FPGA Based Design,0
Aditya Reddy,"C Programming, VLSI Design, PCB Design",1.1,5.19,Image Processing System,0
Rahul Sharma,"PCB Design, Signal Processing, IoT",1.4,5.75,AI Based Fault Detection,0
Vihaan Gupta,"PCB Design, IoT, Verilog",0.7,5.96,Image Processing System,0
Krishna Yadav,"VLSI Design, PCB Design, Verilog",1.2,6.39,Image Processing System,0
Arjun Reddy,"C Programming, VLSI Design, PCB Design",1.2,7.14,IoT Weather Station,0
Kiran Yadav,"Signal Processing, Verilog, IoT",0.5,5.52,AI Based Fault Detection,0
Vihaan Naidu,"VLSI Design, Signal Processing, IoT",0.8,7.07,AI Based Fault Detection,0
Sai Iyer,"Verilog, PCB Design, MATLAB",1.6,6.01,Wireless Communication Model,0
Krishna Gupta,"MATLAB, C Programming, Verilog",0.9,6.87,Image Processing System,0
Rahul Singh,"Signal Processing, PCB Design, IoT",0.1,5.21,IoT Weather Station,0
Vikram Singh,"C Programming, Verilog, VLSI Design",1.8,5.89,FPGA Based Design,0
Aarav Kumar,"IoT, Signal Processing, MATLAB",1.2,5.99,Smart Home Automation,0
Krishna Iyer,"MATLAB, IoT, C Programming",1,5.3,Wireless Communication Model,0
Rohan Naidu,"C Programming, Signal Processing, IoT",1.5,5.89,IoT Weather Station,0
